p_Sub,p_Par,p_Both,choice
0.349315068493151,0.315068493150685,0.232876712328767,1
0.0342465753424658,0,0,1
0.164948453608247,0,0,1
0.232876712328767,0,0,0
0,0,0,1
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.0958904109589041,0,0,1
0,0,0,0
0.26027397260274,0,0,0
0,0.385542168674699,0,1
0.0983606557377049,0.254098360655738,0,1
0.0958904109589041,0.136986301369863,0,1
0.0410958904109589,0.315068493150685,0,1
0.0273972602739726,0.164383561643836,0.0273972602739726,1
0.547945205479452,0.102739726027397,0.0136986301369863,0
0.0753424657534247,0,0,1
0.315068493150685,0.308219178082192,0.226027397260274,1
0.136986301369863,0.191780821917808,0.0684931506849315,0
0,0,0,1
0.349315068493151,0.315068493150685,0.232876712328767,1
0.0342465753424658,0,0,1
0.164948453608247,0,0,1
0.232876712328767,0,0,0
0,0,0,1
0.506849315068493,0,0,0
0.0821917808219178,0,0,1
0,0,0,0
0,0,0,1
0.0618556701030928,0,0,0
0.0547945205479452,0,0,0
0.404109589041096,0,0,0
0,0,0,1
0,0,0,0
0.430232558139535,0,0,1
0.30188679245283,0,0,0
0,0,0,1
0,0,0,0
0.12962962962963,0,0,1
0.046875,0,0,1
0.0306122448979592,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.410958904109589,0,0,1
0.160493827160494,0.641975308641975,0.160493827160494,0
0.0684931506849315,0.232876712328767,0.0684931506849315,0
0.325842696629214,0,0,1
0.506849315068493,0,0,1
0.0273972602739726,0.0205479452054795,0,1
0.416,0,0,1
0,0,0,1
0.157534246575342,0.171232876712329,0.089041095890411,1
0.0342465753424658,0.465753424657534,0,1
0,0.123287671232877,0,1
0.10958904109589,0.267123287671233,0.0821917808219178,1
0.534246575342466,0.280821917808219,0.0410958904109589,1
0,0,0,1
0.151898734177215,0,0,1
0.180952380952381,0.285714285714286,0.114285714285714,1
0,0,0,1
0.60958904109589,0.0821917808219178,0.0616438356164384,1
0,0,0,1
0.0753424657534247,0.287671232876712,0,0
0.156862745098039,0.254901960784314,0.0882352941176471,1
0,0.157534246575342,0,1
0,0.089041095890411,0,1
0,0.116438356164384,0,0
0,0,0,0
0.0958904109589041,0.171232876712329,0.0821917808219178,1
0.198630136986301,0,0,1
0.616438356164384,0.253424657534247,0.178082191780822,1
0.0753424657534247,0.136986301369863,0,1
0,0,0,1
0.0684931506849315,0.116438356164384,0,0
0,0,0,0
0.232876712328767,0,0,1
0.207792207792208,0.12987012987013,0.038961038961039,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.270833333333333,0,0,0
0.0232558139534884,0,0,0
0.268292682926829,0.0487804878048781,0.0487804878048781,0
0,0,0,0
0.391608391608392,0.0699300699300699,0.0629370629370629,1
0.0594059405940594,0,0,0
0.531914893617021,0.0638297872340425,0.0638297872340425,1
0.10752688172043,0,0,1
0,0.107438016528926,0,0
0.0408163265306122,0,0,0
0.664383561643836,0.0958904109589041,0.0958904109589041,0
0.217948717948718,0,0,1
0.147540983606557,0.278688524590164,0,0
0.356164383561644,0.219178082191781,0.0547945205479452,1
0.150684931506849,0,0,1
0.0547945205479452,0.0136986301369863,0,0
0.143835616438356,0,0,1
0,0,0,1
0.241379310344828,0,0,1
0.527397260273973,0.136986301369863,0.0205479452054795,1
0.486301369863014,0.123287671232877,0.116438356164384,0
0.226027397260274,0.157534246575342,0,1
0.178082191780822,0.0205479452054795,0,0
0.198630136986301,0,0,1
0,0,0,0
0.455357142857143,0.0803571428571429,0.0625,1
0.397260273972603,0,0,1
0.267123287671233,0.116438356164384,0,0
0,0,0,1
0,0,0,1
0.253164556962025,0,0,1
0,0,0,0
0.232876712328767,0,0,1
0.207792207792208,0.12987012987013,0.038961038961039,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0.178082191780822,0.089041095890411,0,1
0,0,0,1
0.0597014925373134,0,0,1
0,0,0,0
0.391608391608392,0.0699300699300699,0.0629370629370629,1
0.0594059405940594,0,0,0
0.531914893617021,0.0638297872340425,0.0638297872340425,1
0.10752688172043,0,0,1
0,0.107438016528926,0,0
